SampleLogFunc,SampleVariable1,SampleVariable2,SampleVariable3,SampleVariable4,SampleVariable5,SampleVariable6,SampleVariable7,SampleVariable8,SampleVariable9,SampleVariable10,SampleVariable11,SampleVariable12,SampleVariable13,SampleVariable14,SampleVariable15,SampleVariable16,SampleVariable17,SampleVariable18,SampleVariable19,SampleVariable20,SampleVariable21,SampleVariable22
-28.761559,33.722779,49.356878,14.346130,15.245695,32.715834,17.086460,81.652880,9.2216722,12.786903,8.7174905,51.635826,7.7954469,37.943769,9.8777447,36.653844,55.014327,51.318383,20.456993,33.687846,51.102220,65.804010,8.6342698
-35.834728,34.254602,50.044363,12.641056,16.658164,33.080492,17.494620,81.070852,11.296095,12.264186,9.7652065,54.233045,6.1744231,38.852274,9.7644198,35.288201,56.353798,50.024857,18.847359,34.326351,51.810756,65.334287,11.049435
-31.866554,33.632464,50.645367,13.802777,15.860414,32.984233,18.430105,83.191974,10.244497,10.637243,10.726255,52.764476,5.0714966,36.664892,9.1251184,35.278191,53.664030,52.598666,21.055250,32.279532,51.619230,64.101444,6.5308594
-31.340848,34.493496,48.970163,12.790578,15.219588,33.097668,18.877182,80.719546,7.3883615,11.741870,8.3087159,53.275349,7.5092821,38.212241,8.3672671,35.508136,53.811746,49.296754,20.647058,33.003635,50.738012,65.491568,6.8464473
-33.699234,34.240734,50.941026,15.467727,18.266910,32.401074,18.211143,82.743328,9.2592897,12.327895,9.2040462,53.434127,7.8838470,36.863489,8.7343108,34.976889,56.888400,50.339247,20.898477,33.514826,52.807520,64.520168,9.9401123
-34.922551,34.092518,46.932709,13.187218,16.201558,32.970646,17.085090,81.848859,9.3044405,9.9647805,12.192681,54.064849,7.3711655,36.297389,9.2377101,35.223984,54.253455,50.028172,20.068199,33.247879,52.265475,63.669237,7.4583630
-31.711533,33.307747,49.759838,13.777737,17.311498,32.086461,16.685859,83.190921,10.790752,9.1350117,10.001394,53.645555,6.3990769,38.378965,10.447823,35.379914,55.406952,50.669979,18.908526,31.776406,50.499535,64.974744,10.194420
-35.218221,34.971278,49.333118,15.541327,15.173225,32.406663,17.081081,83.959992,10.245817,9.7683487,9.1680912,52.023460,7.8307776,37.888950,8.3977548,35.649858,56.761384,52.986912,21.726909,33.158704,51.215933,65.707052,5.9181353
-32.402348,33.389174,48.580749,13.646154,15.524879,30.541781,16.070501,80.983158,10.639992,10.331445,10.015691,54.315602,7.3313868,38.334303,8.6832530,36.033928,54.358685,51.461323,19.593311,31.275610,50.203157,64.463758,7.2395944
-30.039668,34.623061,49.120400,13.107213,15.097968,32.513143,18.162471,82.036135,7.4479156,10.880275,9.9993997,53.960090,7.5590859,38.285195,7.6259718,36.531315,52.176681,49.567916,19.032031,33.019340,50.337142,65.110887,8.9125364
